Generation,DE_Fitness
0,11.366881604058364
1,11.366881604058364
2,7.161588503256979
3,2.2336937019524896
4,2.2336937019524896
5,2.2336937019524896
6,2.2336937019524896
7,2.2336937019524896
8,2.2336937019524896
9,2.2336937019524896
10,2.2336937019524896
11,2.2336937019524896
12,2.2336937019524896
13,2.2336937019524896
14,2.2336937019524896
15,2.2336937019524896
16,2.2336937019524896
17,0.29870846619808944
18,0.29870846619808944
19,0.29870846619808944
20,0.29870846619808944
21,0.29870846619808944
22,0.29870846619808944
23,0.29870846619808944
24,0.29870846619808944
25,0.29870846619808944
26,0.29870846619808944
27,0.29870846619808944
28,0.29870846619808944
29,0.29870846619808944
30,0.29870846619808944
31,0.04617579150824014
32,0.04617579150824014
33,0.04617579150824014
34,0.04617579150824014
35,0.04617579150824014
36,0.04617579150824014
37,0.04617579150824014
38,0.04617579150824014
39,0.04617579150824014
40,0.04617579150824014
41,0.04617579150824014
42,0.02791758289232149
43,0.009771931470869077
44,0.007132342009136039
45,0.0070115302529210055
46,0.0030932429004195683
47,0.0018992866078484383
48,0.0018992866078484383
49,0.0018992866078484383
50,0.001101943754498791
51,0.001101943754498791
52,0.0005239225116469015
53,0.0005239225116469015
54,0.0004939087823601085
55,0.000392041139207322
56,0.00030988356738959055
57,7.685241421029332e-06
58,7.685241421029332e-06
59,7.685241421029332e-06
60,7.685241421029332e-06
61,7.685241421029332e-06
62,2.1282091005048187e-06
63,2.1282091005048187e-06
64,2.1282091005048187e-06
65,2.1282091005048187e-06
66,2.1282091005048187e-06
67,2.1910555147997002e-07
68,2.1910555147997002e-07
69,2.1910555147997002e-07
70,2.1910555147997002e-07
71,2.1910555147997002e-07
72,8.535695883438166e-08
73,8.535695883438166e-08
74,3.499397038808638e-08
75,3.499397038808638e-08
76,2.865808212959564e-08
77,2.865808212959564e-08
78,1.396684012888727e-08
79,1.396684012888727e-08
80,2.383124808602588e-10
81,1.7897860971061164e-10
82,1.7897860971061164e-10
83,1.7897860971061164e-10
84,1.7897860971061164e-10
85,1.7890045000967802e-10
86,1.7890045000967802e-10
87,1.4440715290220396e-10
88,1.4440715290220396e-10
89,1.4440715290220396e-10
90,7.23048287909478e-11
91,2.8986590905333287e-11
92,2.8986590905333287e-11
93,2.723865577536344e-11
94,9.272582701669307e-12
95,2.0676793610618915e-12
96,2.0676793610618915e-12
97,2.0676793610618915e-12
98,7.176481631177012e-13
99,6.110667527536862e-13
